37,37
28,36
35,41
40,26
50,13
26,32
50,33
30,25
65,25
57,27
27,46
29,37
49,24
52,56
51,19
26,41
57,22
45,67
61,29
35,75
57,85
36,80
88,72
89,12
34,35
18,44
69,60
51,89
20,20
12,44
21,91
88,50
30,80
60,10
9,88
36,12
71,27
82,19
41,65
21,33
55,66
9,17
19,78
92,8
87,21
36,39
27,30
38,35
20,35
48,12
41,25
23,13
37,32
50,35
41,45
49,39
39,56
52,44
30,32
64,25
31,16
58,40
33,36
33,45
9,31
31,19
30,35
20,46
43,28
34,24
29,32
29,24
42,27
12,46
26,51
31,42
80,78
85,68
89,70
79,68
89,87
60,62
48,83
94,68
88,43
84,44
77,46
92,43
52,107
76,42
42,107
55,115
82,37
79,108
92,34
95,74
50,89
74,35
45,99
49,96
93,78
96,37
61,118
53,63
81,31
40,100
88,80
52,111
90,74
96,41
71,42
86,34
24,63
43,74
44,111
79,117
69,36
85,72
92,39
81,73
115,85
80,122
57,54
35,130
45,104
4,29
85,119
85,76
54,103
51,47
122,57
88,122
39,15
120,115
9,31
116,51
80,43
113,17
45,79
58,66
119,28
132,106
57,13
27,50
87,38
50,137
34,53
19,34
125,103
78,34
140,126
25,19
129,10
46,32
54,137
142,20
19,68
131,153
77,3
106,22
9,92
130,142
84,114
141,46
3,25
68,59
109,88
30,146
115,129
119,62
10,42
46,135
124,21
22,145
20,74
35,69
60,23
103,30
82,144
60,124
142,12
11,106
36,88
107,64
145,26
12,26
85,14
103,78
125,121
7,60
50,42
31,26
26,22
34,35
29,19
42,30
16,37
28,36
36,39
30,20
27,34
24,18
11,10
21,25
29,18
37,37
32,31
27,22
47,7
28,21
33,25
29,26
27,30
37,35
48,30
31,25
35,40
29,9
22,30
78,34
43,75
40,65
83,30
58,34
75,37
78,30
70,30
63,30
79,68
41,69
52,59
72,34
59,29
66,24
66,62
70,26
34,69
63,37
78,25
67,37
74,75
41,22
29,40
32,16
49,100
81,58
75,61
91,42
71,61
52,88
92,29
20,19
10,100
26,9
86,97
62,91
35,93
39,97
98,12
24,91
38,28
100,87
74,89
56,44
6,22
101,83
82,85
52,47
14,43
73,49
35,100
83,101
18,36
21,19
26,19
24,25
34,27
33,22
19,35
27,31
31,20
21,23
31,22
20,19
31,36
15,21
24,23
38,26
21,11
31,19
28,22
33,29
34,23
29,38
38,60
33,49
33,57
34,61
76,48
68,52
74,56
36,65
64,26
59,23
43,80
63,51
72,24
68,48
70,61
40,56
75,21
42,88
66,17
71,20
60,27
60,17
64,22
71,14
75,17
74,60
48,86
66,90
81,54
22,75
25,26
72,98
84,92
39,12
94,19
32,53
66,64
59,38
73,80
87,33
95,74
56,17
68,94
39,18
74,52
95,38
8,88
56,59
62,95
15,16
13,68
26,99
9,43
27,74
56,42
37,23
19,23
28,31
32,30
14,27
25,25
34,21
32,25
37,34
35,30
39,29
29,25
35,26
28,34
22,22
38,33
34,35
41,12
31,29
47,33
32,31
43,42
41,34
56,16
60,23
47,46
64,51
61,37
18,23
46,51
34,55
69,23
38,65
20,28
76,21
24,29
63,21
71,16
73,56
65,17
44,80
60,16
77,17
24,73
70,12
67,50
10,85
91,27
66,11
43,76
28,76
78,68
91,84
38,8
39,74
12,14
81,51
81,75
